Symbol|Name
WPM|Wheaton Precious Metals
NUE|Nucor
RIO|Rio Tinto
GLD|SPDR Gold Shares
IAU|iShares Gold Trust
SLV|iShares Silver Trust
GLDM|SPDR Gold MiniShares Trust
SGOL|abrdn Physical Gold Shares ETF
PPLT|abrdn Physical Platinum Shares ETF
GLTR|abrdn Physical Precious Metals Basket Shares ETF
SIVR|abrdn Physical Silver Shares ETF
BAR|GraniteShares Gold Shares
OUNZ|VanEck Merk Gold Trust
AAAU|Goldman Sachs Physical Gold ETF
PALL|abrdn Physical Palladium Shares ETF
SLVO|Credit Suisse X-Links Silver Shares Covered Call ETN
GLDI|Credit Suisse X-Links Gold Shares Covered Call ETN
DBP|Invesco DB Precious Metals Fund
DGL|Invesco DB Gold Fund
PLTM|GraniteShares Platinum Trust
IGLD|FT Cboe Vest Gold Strategy Target Income ETF
IAUF|iShares Gold Strategy ETF
GBUG|Pacer iPath Gold ETN
PBUG|Pacer iPath Gold Trendpilot ETN
DBS|Invesco DB Silver Fund
BGLD|FT Cboe Vest Gold Strategy Quarterly Buffer ETF
SBUG|iPath Silver Exchange-Traded Notes
JJP|iPath Series B Bloomberg Precious Metals Subindex Total Return ETN
